old_cpp_name,section,key,default,cpp_type,special_case,notes
property_setSection_position14,section,position14,0,double,,
property_setSection_position15,section,position15,0,double,,
property_setSection_position16,section,position16,0,double,,
property_setSection_position17,section,position17,0,double,,
property_setSection_position2,section,position2,-1,double,,
property_setSection_position3,section,position3,1,double,,
property_setSection_position4,section,position4,2,double,,
property_setSection_position5,section,position5,0,double,,
property_setSection_position6,section,position6,0,double,,
property_setSection_position7,section,position7,0,double,,
property_setSection_position8,section,position8,0,double,,
property_setSection_position9,section,position9,0,double,,
property_setSeed_blockageIsOn,seed,blockageIsOn,false,bool,,
property_setSeed_blockCountMax,seed,blockCountMax,1000,int,,
property_setSeed_blockCountMin,seed,blockCountMin,100,int,,
property_setSeed_blockRow1,seed,blockRow1,16,int,,
property_setSeed_blockRow2,seed,blockRow2,16,int,,
property_setSeed_blockRow3,seed,blockRow3,16,int,,
property_setSeed_blockRow4,seed,blockRow4,0,int,,
property_setSeed_numRows,seed,numRows,32,int,,
property_setSound_isAutoSteerOn,sound,autoSteerSound,true,bool,,
property_setSound_isHydLiftOn,sound,isHydLiftOn,true,bool,,
property_setSound_isSectionsOn,sound,isSectionOn,true,bool,,
property_setSound_isUturnOn,sound,isUturnOn,true,bool,,
property_setTool_defaultSectionWidth,tool,defaultSectionWidth,2,double,,
property_setTool_isDirectionMarkers,tool,isDirectionMarkers,true,bool,,
property_setTool_isDisplayTramControl,tool,isDisplayTramControl,true,bool,,
property_setTool_isSectionOffWhenOut,tool,isSectionOffWhenOut,true,bool,,
property_setTool_isSectionsNotZones,tool,isSectionsNotZones,true,bool,,
property_setTool_isToolTBT,tool,isTBT,false,bool,,
property_setTool_isToolFront,tool,isToolFront,false,bool,,
property_setTool_isToolRearFixed,tool,isToolRearFixed,false,bool,,
property_setTool_isToolTrailing,tool,isToolTrailing,true,bool,,
property_setTool_isTramOuterInverted,tool,isTramOuterInverted,false,bool,,
property_setTool_numSectionsMulti,tool,numSectionsMulti,20,int,,
property_setTool_sectionWidthMulti,tool,sectionWidthMulti,0.5,double,,
property_setTool_toolTrailingHitchLength,tool,toolTrailingHitchLength,-2.5,double,,
property_setTool_trailingToolToPivotLength,tool,trailingToolToPivotLength,0,double,,
property_setTool_zones,tool,zones,'QVector<int>{ 2,10,20,0,0,0,0,0,0 }',METATYPE_QVECTOR_INT,,
property_setTram_alpha,tram,alpha,0.8,double,,
property_setTram_BasedOn,tram,basedOn,0,int,,Does not appear to be used
property_setTram_isTramOnBackBuffer,tram,isTramOnBackBuffer,true,bool,,
property_setTram_offset,tram,offset,0,double,,
property_setTram_passes,tram,passes,1,int,,
property_setTram_Skips,tram,skips,0,int,,
property_setTram_snapAdj,tram,snapAdj,1,double,,
